Sound Analyzer App: v2.4
Mode : 	Bandes de ⅓ d'Octave / A-Weighting / Fast-Weighting (125 ms)
Unité : 	 dBA
Dernier calibrage : 	3 févr. 2021 - 16:11:45
Date : 	27 mai 2021
Heure : 	11:53:15 a.m.
Durée (s) : 	12.260136
Overflow : 	0
Temps (s) :  / Fréquences médianes	25 Hz	31.5 Hz	40 Hz	50 Hz	63 Hz	80 Hz	100 Hz	125 Hz	160 Hz	200 Hz	250 Hz	315 Hz	400 Hz	500 Hz	630 Hz	800 Hz	1000 Hz	1250 Hz	1600 Hz	2000 Hz	2500 Hz	3150 Hz	4000 Hz	5000 Hz	6300 Hz	8000 Hz	10000 Hz	12500 Hz	16000 Hz	Global
2.136236	-13.83	-8.00	-1.98	4.79	10.65	5.13	9.67	12.59	20.79	18.88	21.97	25.03	28.42	34.49	37.53	38.54	40.01	40.01	45.87	44.67	43.37	42.11	39.47	37.12	40.85	44.74	48.00	39.62	36.93	54.41
2.229116	-12.96	-7.31	-3.23	2.10	9.23	5.19	10.27	11.25	18.89	18.68	21.51	26.82	29.85	33.17	37.87	37.89	38.83	39.82	45.37	44.56	43.62	42.01	39.14	36.77	40.93	44.66	48.09	39.51	36.63	54.28
2.321995	-13.66	-8.18	-4.10	2.06	8.73	5.70	9.77	10.14	18.39	20.00	22.47	27.02	29.37	33.17	38.33	38.57	38.55	38.62	45.05	45.20	42.94	42.05	39.34	37.98	40.93	44.21	48.06	39.52	36.95	54.23
2.414875	-12.23	-4.53	-6.03	2.54	8.75	6.00	9.61	11.66	18.10	19.35	22.62	27.74	30.59	32.85	38.43	38.41	37.91	38.13	44.75	44.74	43.79	42.51	39.76	37.84	41.13	44.46	47.67	39.31	37.00	54.16
2.507755	-11.39	-5.29	-4.82	2.36	9.69	6.19	10.09	13.67	17.56	19.44	23.28	27.76	29.95	32.57	38.68	38.39	38.31	38.62	44.62	44.88	44.01	43.00	40.54	38.04	40.87	44.99	48.38	39.58	37.18	54.50
2.600635	-12.59	-5.03	-2.91	1.25	8.78	6.64	10.61	12.69	18.32	18.14	22.12	27.90	31.30	33.28	38.24	37.71	38.05	38.06	45.29	45.09	43.69	43.62	40.51	38.66	41.01	44.62	48.04	39.58	37.21	54.48
2.693515	-11.57	-4.04	-0.18	1.23	10.65	6.22	10.69	10.62	18.07	18.30	22.17	27.65	29.12	33.75	39.00	38.02	38.50	38.20	45.08	44.78	43.84	43.40	40.61	38.26	41.01	44.28	47.68	39.44	36.95	54.32
2.786395	-11.54	-2.52	-2.82	2.51	8.92	3.42	9.00	11.70	17.15	18.95	20.37	26.79	29.50	33.32	38.46	37.78	38.09	38.04	44.89	44.54	44.27	43.00	40.12	38.12	42.16	44.75	47.10	39.21	36.60	54.20
2.879274	-12.87	-4.85	-3.39	2.66	7.59	5.64	9.79	11.27	19.49	18.20	21.92	28.03	30.52	32.60	38.34	38.52	37.80	38.42	46.00	45.32	44.94	43.80	40.07	37.54	41.71	44.97	47.32	39.34	36.97	54.62
2.972154	-13.27	-5.91	-2.60	2.27	6.21	3.95	8.90	13.49	18.80	17.00	20.87	27.54	29.23	31.60	38.43	38.58	38.16	38.37	45.96	45.08	44.68	43.42	40.42	37.68	41.33	45.39	48.43	39.41	37.39	54.81
3.065034	-15.21	-5.67	-4.02	0.49	5.04	6.35	8.18	12.26	21.28	18.69	22.49	27.20	29.48	31.57	37.62	37.80	37.50	38.31	46.13	45.14	44.19	43.15	41.07	38.56	42.18	44.97	47.77	38.87	37.38	54.61
3.157914	-12.99	-5.79	-4.35	3.10	6.81	5.80	10.05	11.51	19.78	16.81	24.19	27.88	29.59	31.73	37.01	38.33	38.09	38.39	45.76	44.83	44.03	43.41	40.48	37.81	41.67	44.98	47.53	39.24	37.34	54.44
3.250794	-11.96	-7.83	-6.41	1.03	6.03	6.09	8.14	11.10	18.99	17.49	23.88	28.39	29.44	31.13	36.66	38.16	37.13	37.95	45.94	44.47	43.56	43.47	40.36	37.61	41.92	44.88	46.91	38.89	36.96	54.20
3.343673	-14.17	-6.54	-5.81	1.43	7.17	5.61	9.60	13.02	18.46	18.71	22.91	27.45	30.96	32.36	38.43	40.10	37.84	38.13	45.29	44.13	44.03	43.34	40.61	39.38	41.42	45.18	47.93	39.33	36.90	54.51
3.436553	-15.90	-7.58	-2.02	2.55	6.42	8.56	9.07	11.94	18.87	19.65	22.24	27.60	31.41	34.31	38.67	39.45	38.29	38.45	45.37	44.99	43.92	43.76	40.76	39.21	41.29	45.68	47.93	39.63	36.82	54.71
3.529433	-14.13	-8.84	-1.82	3.28	6.96	7.50	7.87	12.97	20.39	21.18	23.38	26.83	30.86	34.18	38.60	38.42	38.04	37.96	44.80	44.68	43.92	43.04	40.76	38.35	41.46	45.48	47.88	39.76	37.16	54.47
3.622313	-14.42	-6.85	-4.11	2.21	7.08	9.75	8.42	15.23	19.26	21.04	23.69	27.52	29.35	34.97	39.46	41.28	39.42	39.48	45.46	45.25	44.62	43.05	40.91	38.91	41.38	45.19	48.22	39.60	37.33	54.92
3.715193	-13.41	-5.14	-3.76	2.50	9.81	8.87	9.70	12.74	18.44	20.72	23.32	27.14	28.95	33.78	38.36	40.53	39.15	39.05	45.15	45.34	43.85	42.35	40.42	38.02	41.35	44.45	47.58	39.34	36.80	54.42
3.808073	-14.04	-7.02	-3.06	0.95	9.11	7.29	9.23	11.10	18.27	20.73	23.08	27.46	30.15	33.55	39.16	40.12	39.36	38.59	45.62	45.07	44.54	43.40	40.66	39.16	40.89	44.89	47.90	39.59	36.88	54.72
3.900952	-11.84	-6.47	-0.97	2.32	11.06	6.59	11.70	15.03	17.51	21.99	23.93	27.82	29.73	32.23	37.50	39.24	37.93	38.97	45.64	44.43	43.64	43.09	40.36	38.80	41.85	44.81	47.37	39.63	36.88	54.35
3.993832	-13.42	-6.48	-2.71	1.07	9.48	8.14	11.94	14.41	19.22	21.06	23.50	27.66	28.31	32.29	38.85	38.46	38.34	38.60	45.11	44.24	44.34	43.80	40.49	38.52	41.66	44.42	47.08	39.69	36.86	54.28
4.086712	-13.37	-5.61	-5.09	-0.10	9.82	7.54	9.99	12.45	19.92	21.58	22.70	26.43	30.32	33.12	38.07	38.47	38.66	38.51	45.46	45.16	43.95	43.20	40.14	38.02	41.22	44.91	47.82	39.52	37.27	54.49
4.179592	-12.87	-5.63	-4.80	0.19	8.69	8.82	9.80	11.43	19.27	20.12	21.89	26.76	30.45	32.56	38.23	38.72	38.58	39.38	45.78	45.49	44.48	43.60	40.99	38.59	41.09	44.95	47.64	39.92	37.14	54.70
4.272472	-13.31	-7.15	-3.99	0.24	7.82	6.37	10.39	14.42	19.86	20.48	22.22	25.90	29.22	32.10	38.20	38.80	38.73	39.48	45.96	46.03	43.82	43.14	40.28	39.65	41.49	45.23	47.88	39.82	36.87	54.79
4.365351	-14.63	-6.57	-4.23	-0.22	5.75	8.58	10.14	12.36	19.58	19.82	21.69	25.40	29.21	32.16	38.78	39.44	38.01	39.10	46.28	45.46	43.22	42.89	40.10	39.32	41.56	45.32	47.77	39.50	37.07	54.67
4.458231	-12.83	-6.42	-6.61	0.12	7.10	9.49	9.65	11.96	19.91	18.75	22.94	26.76	29.44	32.44	38.52	40.65	39.28	39.36	46.14	44.97	43.27	43.10	40.35	38.26	41.24	45.31	47.92	39.55	37.01	54.69
4.551111	-13.59	-6.75	-8.65	2.21	9.15	7.99	11.01	12.10	19.49	18.34	22.37	26.49	29.81	33.82	37.08	39.30	38.91	39.14	46.72	46.33	43.53	42.97	40.38	37.34	41.44	44.84	48.26	39.37	36.78	54.88
